127.0.0.1 - - [24/Aug/2026 15:36:42] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /css/global.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /css/history.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /css/progress.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /css/dashboard.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /css/training.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /css/combo.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /data/tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/training.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/custom-tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:19] "GET /js/combo-calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:20] "GET /pages/dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:22] "GET /pages/dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:23] "GET /pages/training.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:23] "GET /pages/history.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:23] "GET /pages/combo-calculator.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:24] "GET /pages/custom-tricks.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /css/global.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /css/training.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /css/history.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /css/combo.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /css/progress.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /css/dashboard.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /data/tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/custom-tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/training.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /js/combo-calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:26] "GET /pages/dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:27] "GET /pages/dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:28] "GET /pages/training.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:37:28] "GET /pages/history.html HTTP/1.1" 200 -
